RowID,Outcome,Comparator,Intervention,Answer,Reasoning,xml_offsets,XML,PMID,Location
59610,Recurrent venous thromboembolism,Low-molecular-weight heparins: Tinzaparin (175 IU/kg),Unfractionated heparin  5000 IU followed by 30 000 IU,No significant difference,A nonsignificant reduction in the incidence of recurrent venous thromboembolism (6.9% in the standard heparin-treated group versus 2.8% in the LMWH-treated group),8657:8819,59610,11714421,Unavailable
59610,Major bleeding,Low-molecular-weight heparins: Tinzaparin (175 IU/kg),Unfractionated heparin  5000 IU followed by 30 000 IU,Significantly decreased,a significant reduction in the rate of major bleeding (5.0% versus 0.5%) and a significant reduction in the rate of deaths (9.6% versus 4.7%) in favour of the LMWH were observed.,8820:8999,59610,11714421,Unavailable
59610,Mortality,Low-molecular-weight heparins: Tinzaparin (175 IU/kg),Unfractionated heparin  5000 IU followed by 30 000 IU,Significantly decreased,a significant reduction in the rate of major bleeding (5.0% versus 0.5%) and a significant reduction in the rate of deaths (9.6% versus 4.7%) in favour of the LMWH were observed.,8820:8999,59610,11714421,Unavailable
59610,Recurrent venous thromboembolism,Low-molecular-weight heparins: Nadroparin (weight-adjusted) ,Unfractionated heparin  100 IU/kg followed by infusion of 35 000 IU,No significant difference,in the LMWH group there was a nonsignificant reduction in the rate of recurrent venous thromboembolism (14% in the standard heparin-treated group versus 7% in the LMWH-treated group),9519:9701,59610,11714421,Unavailable
59610,Major bleeding ,Low-molecular-weight heparins: Nadroparin (weight-adjusted) ,Unfractionated heparin  100 IU/kg followed by infusion of 35 000 IU,No significant difference,a nonsignificant reduction in major bleeding (3.5% versus 1%) and a nonsignificant reduction in deaths after 6 months of follow up (14% versus 7%).,9702:9850,59610,11714421,Unavailable
59610,6-month mortality,Low-molecular-weight heparins: Nadroparin (weight-adjusted) ,Unfractionated heparin  100 IU/kg followed by infusion of 35 000 IU,No significant difference,a nonsignificant reduction in major bleeding (3.5% versus 1%) and a nonsignificant reduction in deaths after 6 months of follow up (14% versus 7%).,9702:9850,59610,11714421,Unavailable
59610,Recurrent venous thromboembolism,Low-molecular-weight heparins: Nadroparin (weight-adjusted) ,Intravenous unfractionated heparin ,No significant difference,"The rate of events was comparable in the two groups with regard to recurrent venous thromboembolism (8.6 and 6.9%, respectively), major bleeding (2.0 and 0.5%, respectively) and death (8.1 and 6.9%, respectively).",12068:12281,59610,11714421,Unavailable
59610,Major bleeding,Low-molecular-weight heparins: Nadroparin (weight-adjusted) ,Intravenous unfractionated heparin ,No significant difference,"The rate of events was comparable in the two groups with regard to recurrent venous thromboembolism (8.6 and 6.9%, respectively), major bleeding (2.0 and 0.5%, respectively) and death (8.1 and 6.9%, respectively).",12068:12281,59610,11714421,Unavailable
59610,Mortality,Low-molecular-weight heparins: Nadroparin (weight-adjusted) ,Intravenous unfractionated heparin ,No significant difference,"The rate of events was comparable in the two groups with regard to recurrent venous thromboembolism (8.6 and 6.9%, respectively), major bleeding (2.0 and 0.5%, respectively) and death (8.1 and 6.9%, respectively).",12068:12281,59610,11714421,Unavailable
59610,Duration of hospitalization ,Low-molecular-weight heparins: Nadroparin (weight-adjusted) ,Intravenous unfractionated heparin ,Significantly decreased,"Importantly, the duration of hospitalization was reduced by 67% from 8.1 days in the unfractionated heparin group to 2.7 days in the LMWH group.",12282:12426,59610,11714421,Unavailable
59610,Recurrent venous thromboembolism,Low-molecular-weight heparins: Enoxaparin ,Intravenous unfractionated heparin ,No significant difference,The event rates of recurrent venous thromboembolism and major bleeding did not reach statistical significance and therefore it was concluded that the LMWH enoxaparine was not inferior to unfractionated heparin in the treatment of deep venous thrombosis.,12933:13186,59610,11714421,Unavailable
59610,Major bleeding,Low-molecular-weight heparins: Enoxaparin ,Intravenous unfractionated heparin ,No significant difference,The event rates of recurrent venous thromboembolism and major bleeding did not reach statistical significance and therefore it was concluded that the LMWH enoxaparine was not inferior to unfractionated heparin in the treatment of deep venous thrombosis.,12933:13186,59610,11714421,Unavailable
59610,Duration of hospitalization ,Low-molecular-weight heparins: Enoxaparin ,Intravenous unfractionated heparin ,Significantly decreased,". As in the previous study, the time spent in the hospital was remarkably reduced, from 6.5 days to 1.1 days, and 120 out of the 247 patients randomized to the LMWH were never admitted to the hospital.",13185:13386,59610,11714421,Unavailable
