label	i	c	o	span
gold	Brand-name desogestrel 	Generic desogestrel 	Plasma concentration	Plasma concentration-time curves of 3-ketodesogestrel are shown in Figure 1, exhibiting the evident similarity of the plasma level profiles of both formulations.
c	3 - ketodesogestrel	3 - ketodesogestrel	plasma level	Plasma concentration-time curves of 3-ketodesogestrel are shown in Figure 1, exhibiting the evident similarity of the plasma level profiles of both formulations.
gold	Brand-name desogestrel 	Generic desogestrel 	Plasma concentration	Plasma concentration-time curves of 3-ketodesogestrel are shown in Figure 1, exhibiting the evident similarity of the plasma level profiles of both formulations.
c	3 - ketodesogestrel	3 - ketodesogestrel	Plasma concentration - time curves	Plasma concentration-time curves of 3-ketodesogestrel are shown in Figure 1, exhibiting the evident similarity of the plasma level profiles of both formulations.
gold	plant extract St. John's Wort (SJW)	placebo	E-selectin, metalloproteinase-9 (MMP-9), Granulocyte colony-stimulating factor (G-CSF) , and Vascular endothelial growth factor (VEGF)	There were no clinical or biomarker benefit of SJW versus placebo in RP.
x	placebo	SJW	clinical or biomarker benefit	There were no clinical or biomarker benefit of SJW versus placebo in RP.
gold	undergo a tubal resection after Pomeroy ligation	undergo a tubal resection after bipolar coagulation with Kleppinger forceps	Postoperative pain at 6 hours	Pain at incision sites or in the pelvis was described by the patient as being usually mild or moderate 6 hours postoperatively (mean score: 4.6 out of 10 for ligation, 4.0 of 10 for coagulation) except in 6 patients (ligation 4, coagulation 2) that required overnight admission for parenteral morphine or meperidine.
c	parenteral morphine or meperidine .	parenteral morphine or meperidine .	Pain at incision sites or in the pelvis	Pain at incision sites or in the pelvis was described by the patient as being usually mild or moderate 6 hours postoperatively (mean score: 4.6 out of 10 for ligation, 4.0 of 10 for coagulation) except in 6 patients (ligation 4, coagulation 2) that required overnight admission for parenteral morphine or meperidine.
gold	Simvastatine	Placebo	Progression-free survival	The median PFS was 5.9 months (95% CI, 4.5–7.3) in the XELIRI/FOLFIRI plus simvastatin group and 7.0 months (95% CI, 5.4–8.6) in the XELIRI/FOLFIRI plus placebo group (P=0.937).
x	XELIRI / FOLFIRI plus simvastatin	XELIRI / FOLFIRI plus placebo	median PFS	The median PFS was 5.9 months (95% CI, 4.5–7.3) in the XELIRI/FOLFIRI plus simvastatin group and 7.0 months (95% CI, 5.4–8.6) in the XELIRI/FOLFIRI plus placebo group (P=0.937).
gold	Simvastatine	Placebo	Overall survival	No significant difference was observed between the two groups with respect to OS (median, 15.9 months (simvastatin) vs 19.9 months (placebo), P=0.826).
x	simvastatin	placebo	OS	No significant difference was observed between the two groups with respect to OS (median, 15.9 months (simvastatin) vs 19.9 months (placebo), P=0.826).
gold	Simvastatine	Placebo	Time to progression 	No significant differences were observed between the simvastatin and placebo groups regarding two of the secondary end points, OS and TTP.
x	simvastatin	placebo	OS and TTP .	No significant differences were observed between the simvastatin and placebo groups regarding two of the secondary end points, OS and TTP.
gold	Simvastatine	Placebo	Toxicity 	The addition of simvastatin did not result in any clinically significant increase in treatment-related toxicities
c	simvastatin	simvastatin	treatment - related toxicities .	The addition of simvastatin did not result in any clinically significant increase in treatment-related toxicities.
gold	TOMOX	FOLFOX4	Hepatic disorders and asthenia	Hepatic disorders (25.0 vs. 14.3 %) and asthenia (19.6 vs. 11.0 %) had a numerically higher incidence in the TOMOX group than the FOLFOX4 group, but the differences did not reach statistical significance.
x	TOMOX	FOLFOX4	asthenia	Hepatic disorders (25.0 vs. 14.3 %) and asthenia (19.6 vs. 11.0 %) had a numerically higher incidence in the TOMOX group than the FOLFOX4 group, but the differences did not reach statistical significance.
gold	TOMOX	FOLFOX4	Hepatic disorders and asthenia	Hepatic disorders (25.0 vs. 14.3 %) and asthenia (19.6 vs. 11.0 %) had a numerically higher incidence in the TOMOX group than the FOLFOX4 group, but the differences did not reach statistical significance.
x	TOMOX	FOLFOX4	Hepatic disorders	Hepatic disorders (25.0 vs. 14.3 %) and asthenia (19.6 vs. 11.0 %) had a numerically higher incidence in the TOMOX group than the FOLFOX4 group, but the differences did not reach statistical significance.
