ID,Label,Selected Reasoning,Group Name,Selected Text,Start,End,Valid Prompt,Additional Comments
467703,,The intervention is not in the article,,,,,False,
611221,Unsure,Hard: Intervention is implied ,3.0,"Secondary analysis revealed that molar insulin-to-C-peptide ratio (I/C) > 0.175 (a surrogate measure of exogenous insulin usage) was associated with decreased overall survival, complete remission duration and progression-free survival (PFS), whereas metformin and/or thiazolidinedione usage were associated with increased PFS.",1771.0,2097.0,True,It seems like they used a surrogate measure of the intervention to assess survival rather than comparing the two groups directly
611221,Unsure,Hard: Intervention is implied ,3.0,"To examine whether an intensive insulin regimen could improve outcomes compared with conventional antidiabetic pharmacotherapy, a randomized trial was conducted that compared glargine plus aspart vs. conventional therapy (control).",1140.0,1372.0,True,It seems like they used a surrogate measure of the intervention to assess survival rather than comparing the two groups directly
611221,Unsure,Hard: Intervention is implied ,4.0,"Secondary analysis revealed that molar insulin-to-C-peptide ratio (I/C) > 0.175 (a surrogate measure of exogenous insulin usage) was associated with decreased overall survival, complete remission duration and progression-free survival (PFS), whereas metformin and/or thiazolidinedione usage were associated with increased PFS.",1771.0,2097.0,True,It seems like they used a surrogate measure of the intervention to assess survival rather than comparing the two groups directly
611221,Unsure,Hard: Intervention is implied ,4.0,A glargine-plus-aspart intensive insulin regimen did not improve ALL outcomes in patients with hyperglycemia.,2620.0,2730.0,True,It seems like they used a surrogate measure of the intervention to assess survival rather than comparing the two groups directly
611221,Unsure,Hard: Intervention is implied ,5.0,"To examine whether an intensive insulin regimen could improve outcomes compared with conventional antidiabetic pharmacotherapy, a randomized trial was conducted that compared glargine plus aspart vs. conventional therapy (control).",1140.0,1372.0,True,It seems like they used a surrogate measure of the intervention to assess survival rather than comparing the two groups directly
611221,Unsure,Hard: Intervention is implied ,5.0,"To examine whether intensive insulin therapy could improve outcomes, a randomized trial was conducted that compared glargine plus aspart vs. conventional therapy.",432.0,594.0,True,It seems like they used a surrogate measure of the intervention to assess survival rather than comparing the two groups directly
359970,,The intervention is not in the abstract,,,,,False,
468496,True,Hard: Intervention is implied ,1.0,"Median event-free and overall survival was 12.2 and 44.8 months, respectively.",791.0,869.0,True,
468496,True,Hard: Intervention is implied ,1.0,No differences in outcome were found for patients treated with versus without darbepoetin alfa.,870.0,965.0,True,
318313,,The intervention is not in the abstract,,,,,False,
592996,,The intervention is not in the abstract,,,,,False,
352253,,The intervention is not in the abstract,,,,,False,
404389,,The intervention is not in the abstract,,,,,False,
643299,,The intervention is not in the abstract,,,,,False,
572160,,The intervention is not in the abstract,,,,,False,
324607,,The intervention is not in the abstract,,,,,False,
78575,,The intervention is not in the abstract,,,,,False,
537877,,The intervention is not in the abstract,,,,,False,
201096,True,Super Easy: Strings in same sentence,1.0,The median survival for patients receiving DTIC was 7.2 months (95% confidence interval (CI) 4.4-9.0); it was 4.8 months for DTIC + IFN-alpha (95% CI 2.0-8.0).,918.0,1078.0,True,
201096,True,Super Easy: Strings in same sentence,2.0,The 6-month survival of those patients randomized to DTIC alone was 58% compared with 40% for those patients randomized to DTIC + IFN-alpha.,1226.0,1366.0,True,
201096,True,Super Easy: Strings in same sentence,3.0,Prospective randomized comparison of dacarbazine (DTIC) versus DTIC plus interferon-alpha (IFN-alpha) in metastatic melanoma.,0.0,125.0,True,
201096,True,Super Easy: Strings in same sentence,3.0,The primary endpoint was death.,566.0,597.0,True,
201096,True,Super Easy: Strings in same sentence,4.0,Prospective randomized comparison of dacarbazine (DTIC) versus DTIC plus interferon-alpha (IFN-alpha) in metastatic melanoma.,0.0,125.0,True,
201096,True,Super Easy: Strings in same sentence,4.0,Differences in survival between groups were assessed using log-rank analysis.,672.0,750.0,True,
201096,True,Super Easy: Strings in same sentence,5.0,Prospective randomized comparison of dacarbazine (DTIC) versus DTIC plus interferon-alpha (IFN-alpha) in metastatic melanoma.,0.0,125.0,True,
201096,True,Super Easy: Strings in same sentence,5.0,"There was no significant difference in survival between the two treatment arms (chi2 unadjusted = 0.15, P = 0.70; chi2 adjusted = 0.01, P = 0.91).",1078.0,1226.0,True,
114064,,The intervention is not in the abstract,,,,,False,
575014,False,No: Both groups had the drug ,1.0,"Patients in complete response (CR) were then randomized to ASCT or observation, whereas the other patients were randomized to dexamethasone, high-dose aracytin, cisplatin (DHAP) salvage followed by either ASCT or 3 courses of fludarabine plus cyclophosphamide (FC).",619.0,885.0,True,
575014,False,No: Both groups had the drug ,1.0,The primary end point was event-free survival (EFS).,885.0,937.0,True,
514783,,The intervention is not in the abstract; The outcome is not in the abstract; Cancer is not in the abstract,,,,,False,
34710,,The intervention is not in the abstract,,,,,False,
634378,,Article is not an RCT; The intervention is not in the abstract,,,,,False,
625921,,The intervention is not in the abstract,,,,,False,
96418,,The intervention is not in the abstract,,,,,False,
47113,,The intervention is not in the abstract,,,,,False,
429125,,The intervention is not in the abstract,,,,,False,
615128,,The intervention is not in the abstract,,,,,False,
412457,True,Hard: Intervention is implied ,1.0,"The present phase III, double-blind trial evaluated the efficacy of pegfilgrastim versus placebo in reducing the incidence of grade 3/4 FN in patients with advanced CRC receiving bevacizumab combined with first-line chemotherapy (FOLFOX [leucovorin, 5-fluorouracil, oxaliplatin] or FOLFIRI [leucovorin, 5-fluorouracil, irinotecan]).",510.0,842.0,True,
412457,True,Hard: Intervention is implied ,1.0,"No significant differences were observed between the 2 arms in ORR (OR, 1.15; P = .330), overall survival (hazard ratio, 0.94; P = .440), and progression-free survival (hazard ratio, 0.93; P = .300).",1779.0,1978.0,True,
412457,True,Hard: Intervention is implied ,2.0,Patients aged ≥ 18 years with locally advanced or metastatic CRC were randomized 1:1 to placebo or 6 mg of pegfilgrastim ∼24 hours after receiving chemotherapy plus bevacizumab every 14 days.,878.0,1069.0,True,
412457,True,Hard: Intervention is implied ,2.0,"No significant differences were observed between the 2 arms in ORR (OR, 1.15; P = .330), overall survival (hazard ratio, 0.94; P = .440), and progression-free survival (hazard ratio, 0.93; P = .300).",1779.0,1978.0,True,
412457,True,Hard: Intervention is implied ,3.0,"A total of 845 patients were randomized from November 2009 to January 2012 (422, pegfilgrastim; 423, placebo)",1439.0,1548.0,True,
412457,True,Hard: Intervention is implied ,3.0,"No significant differences were observed between the 2 arms in ORR (OR, 1.15; P = .330), overall survival (hazard ratio, 0.94; P = .440), and progression-free survival (hazard ratio, 0.93; P = .300).",1779.0,1978.0,True,
486986,,The intervention is not in the abstract,,,,,False,
26708,,The intervention is not in the abstract,,,,,False,
470989,,The intervention is not in the abstract,,,,,False,
568706,True,Medium: CoRef (1 other snippet),1.0,This study examined the efficacy of arabinoxylan rice bran (MGN-3) in conjunction with an interventional therapy (IT) for the treatment of hepatocellular carcinoma patients.,197.0,370.0,True,
568706,True,Medium: CoRef (1 other snippet),1.0,"Patients in the IT+MGN-3 group showed: (i) lower recurrence of the disease, 31.6% (12/38), as compared to 46.7% (14/30) for the control; (ii) higher survival after the second year, 35%, as compared to 6.7% for the control;",889.0,1111.0,True,
546621,,Abstract does not appear,,,,,False,
325376,,The intervention is not in the abstract,,,,,False,
333280,False,No: Other ,1.0,"This phase III randomized placebo-controlled study tested efficacy/safety of first-line oral letrozole 2.5 mg daily/temsirolimus 30 mg daily (5 days every 2 weeks) versus letrozole/placebo in 1,112 patients with AI-naive, hormone receptor-positive advanced disease.",622.0,888.0,True,
333280,False,No: Other ,1.0,An independent data monitoring committee recommended study termination for futility at the second preplanned interim analysis (382 PFS events).,888.0,1031.0,True,
333280,False,No: Other ,2.0,"This phase III randomized placebo-controlled study tested efficacy/safety of first-line oral letrozole 2.5 mg daily/temsirolimus 30 mg daily (5 days every 2 weeks) versus letrozole/placebo in 1,112 patients with AI-naive, hormone receptor-positive advanced disease.",622.0,888.0,True,
333280,False,No: Other ,2.0,"There was no overall improvement in primary end point PFS (median, 9 months; hazard ratio [HR], 0.90; 95% CI, 0.76 to 1.07; P = .25) nor in the 40% patient subset with prior adjuvant endocrine therapy.",1242.0,1444.0,True,
333280,False,No: Other ,3.0,"This phase III randomized placebo-controlled study tested efficacy/safety of first-line oral letrozole 2.5 mg daily/temsirolimus 30 mg daily (5 days every 2 weeks) versus letrozole/placebo in 1,112 patients with AI-naive, hormone receptor-positive advanced disease.",622.0,887.0,True,
333280,False,No: Other ,3.0,"An exploratory analysis showed improved PFS favoring letrozole/temsirolimus in patients ≤ age 65 years (9.0 v 5.6 months; HR, 0.75; 95% CI, 0.60 to 0.93; P = .009), which was separately examined by an exploratory analysis of 5-month PFS using subpopulation treatment effect pattern plot methodology (P = .003).",1445.0,1755.0,True,
510272,,The intervention is not in the abstract,,,,,False,
110366,,The intervention is not in the abstract; The outcome is not in the abstract,,,,,False,
511749,,The intervention is not in the abstract; The outcome is not in the abstract,,,,,False,
43039,,The intervention is not in the abstract,,,,,False,
482862,,The intervention is not in the abstract,,,,,False,
47487,,Article is not an RCT,,,,,False,
47259,,Intervention is not in the article; Article is not an RCT,,,,,False,
276517,N/A,The intervention is not in the abstract; The outcome is not in the abstract,N/A,N/A,N/A,N/A,False,N/A
